[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.005209s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003836s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004053s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.005320s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005521s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] filemtime() [<a href='function.filemtime'>function.filemtime</a>]: stat failed for ../www/Runtime/temp\ad8e59ce47dbfcaa1997cb1f97ce44a4df067d64.file.header.html.php smarty_resource.php 第 720 行.
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] unlink(../www/Runtime/temp\ad8e59ce47dbfcaa1997cb1f97ce44a4df067d64.file.header.html.php) [<a href='function.unlink'>function.unlink</a>]: No such file or directory smarty_internal_write_file.php 第 57 行.
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.061972s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.062113s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.001300s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.001267s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001115s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.001368s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005285s ]
[ 2013-01-04T16:28:57+08:00 ] /caidan/root/index.php/Index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\jess\caidan\www\Lib\Action\IndexAction.class.php:7) View.class.php 第 120 行.
