[ 2012-12-16T15:16:58+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.012656s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012733s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000356s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000439s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000237s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000461s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001708s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.002224s ]
[ 2012-12-16T15:16:58+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002329s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001140s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001244s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001812s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001892s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.021339s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021420s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001040s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000989s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000847s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001072s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004114s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.002382s ]
[ 2012-12-16T15:17:58+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.002450s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000596s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000708s ]
[ 2012-12-16T15:18:03+08:00 ] / | SQL: DESCRIBE caidan_menu [ RunTime:0.002801s ]
[ 2012-12-16T15:18:03+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:18:03+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:18:03+08:00 ] / | NOTIC: [8] Undefined index:  Name DbPdo.class.php 第 305 行.
[ 2012-12-16T15:18:03+08:00 ] / | SQL: select id, name, description from caidan_menu [ RunTime:0.001192s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000627s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000713s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.014772s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014853s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000314s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000333s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000216s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000419s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001433s ]
[ 2012-12-16T15:18:03+08:00 ] / | INFO: Tag[ view_end ] --START--
